日期,金额,支付通道,说明
2025-08-30,-26.86,支付宝,出差晚餐
2025-08-31,-9.38,微信,京东点外卖
2025-08-31,-7.92,微信,羽毛球球费
2025-08-31,-29.67,微信,羽毛球场地费
2025-08-31,-67.43,微信,八合里牛肉火锅
2025-09-01,-438.7,微信,9月水电+物业
2025-09-01,-14.9,白条,京东点外卖先用后付
2025-09-01,-3.0,微信,便利店买早餐
2025-09-01,-17.81,微信,京东点外卖
2025-09-02,-5.0,微信,便利店买早餐
2025-09-02,-0.2,微信,团费
2025-09-03,-1.5,微信,便利店买早餐
2025-09-03,-13.98,微信,京东点外卖
2025-09-03,-47.3,抖音月付,羽毛球线和羽毛球袜
2025-09-04,-1.5,微信,便利店买早餐
2025-09-04,-78.56,微信,买羽毛球
2025-09-04,-7.59,白条,显示器转换器
2025-09-04,-0.5,微信,饮水机打水
2025-09-05,-1.5,微信,便利店买早餐
2025-09-05,-19.9,微信,京东点外卖
2025-09-06,-6.88,白条,京东点外卖先用后付
2025-09-06,-6.9,微信,京东点外卖
2025-09-06,-2.5,微信,冰块
2025-09-06,-100.0,支付宝,岭南通充值
2025-09-07,-42.75,微信,京东买药
2025-09-07,-23.5,微信,京东买药
2025-09-07,-6.9,微信,京东点外卖
2025-09-07,-4.0,微信,打羽毛球买饮料
2025-09-07,-38.5,微信,打完羽毛球吃晚饭
2025-09-07,-29.81,支付宝,买羽毛球服
2025-09-08,-1.5,微信,便利店买早餐
2025-09-08,-10.0,微信,打完羽毛球喝糖水
2025-09-08,-10.9,微信,京东点外卖
2025-09-08,-16.9,白条,京东买雨伞
2025-09-08,-21.5,微信,羽毛球场地费
2025-09-09,-1.5,微信,共享单车
2025-09-09,-3.0,微信,便利店买早餐
2025-09-09,-14.9,微信,漂白剂
2025-09-09,-15.9,微信,京东点外卖
2025-09-10,-3.0,微信,便利店买早餐
2025-09-10,-4.15,支付宝,抖音买双面胶
2025-09-10,-7.31,支付宝,pdd买桌面显示器增高架
2025-09-10,-8.4,微信,京东点外卖
2025-09-11,-3.0,微信,便利店买早餐
2025-09-11,-117.0,微信,羽毛球场地费
2025-09-11,-11.8,微信,京东点外卖
2025-09-12,-1.0,支付宝,网易云会员
2025-09-12,-5.16,支付宝,pdd退款运费
2025-09-12,-1.5,微信,便利店买早餐
2025-09-12,-16.0,微信,嘉记瓦缸烧鹅
2025-09-13,-0.31,支付宝,共享单车
2025-09-13,-13.87,白条,菠萝啤
2025-09-14,-33.33,白条,京东 宏香记 牛肉豆脯
2025-09-14,-11.9,微信,京东点外卖
2025-09-15,-9.38,微信,京东点外卖
2025-09-15,-5.0,微信,给人赞赏
2025-09-15,-14.9,微信,京东点外卖
2025-09-16,-1.5,微信,便利店买早餐
2025-09-16,-2.99,微信,浦发APP买牙膏
2025-09-16,-0.99,微信,共享单车
2025-09-16,-9.9,微信,京东点外卖
2025-09-17,-1.5,微信,便利店买早餐
2025-09-17,-200.0,浦发银行卡,ATM取现
2025-09-17,-8.8,微信,京东点外卖
2025-09-17,-0.51,支付宝,共享单车
2025-09-18,-2.0,支付宝,共享单车
2025-09-18,-15.68,支付宝,共享单车
2025-09-18,-12.98,微信,京东点外卖
2025-09-19,-31.0,支付宝,培训完花城汇吃晚饭
2025-09-20,-27.8,微信,珠江新城买早餐
2025-09-20,-100.0,微信,给家里发红包
2025-09-20,-157.0,微信,大学城东北菜
2025-09-20,-52.46,微信,打台球
2025-09-21,-9.38,微信,京东点外卖
2025-09-21,-12.8,微信,京东点外卖
2025-09-22,-1.5,微信,便利店买早餐
2025-09-22,-8.38,微信,京东点外卖
2025-09-23,-3.0,微信,便利店买早餐
2025-09-23,-14.9,微信,京东点外卖
2025-09-23,-45.0,微信,台风天买物资
2025-09-25,-20.9,微信,京东点外卖
2025-09-26,-19.9,微信,京东点外卖
2025-09-27,-8.0,微信,打羽毛球买水
2025-09-27,-27.0,微信,打完羽毛球喝糖水
2025-09-27,-86.0,微信,羽毛球场地费
2025-09-27,-21.67,微信,羽毛球场地费
2025-09-27,-28.0,微信,打完羽毛球吃晚饭
2025-09-27,-20.0,微信,打完羽毛球吃晚饭
2025-09-27,-100.0,支付宝,岭南通充值
2025-09-27,-1.8,支付宝,打完羽毛球买饮料
2025-09-28,-27.4,支付宝,麦当劳
2025-09-28,-29.8,微信,买洗发水
2025-09-29,-219.0,支付宝,羽毛球AS05
2025-09-29,-16.43,微信,京东点外卖
2025-09-30,-14.9,微信,京东点外卖
2025-10-01,-28.41,微信,京东买抽纸
2025-10-01,-9.36,浦发银行卡,京东点外卖
2025-10-01,-19.9,微信,京东点外卖
2025-10-02,-9.38,微信,京东点外卖
2025-10-02,-469.51,微信,10月水电+物业
2025-10-03,-12.4,微信,京东点外卖
2025-10-03,-19.9,微信,京东点外卖
2025-10-03,-112.25,微信,给家人发红包
2025-10-03,-11.1,微信,京东点外卖
2025-10-04,-9.38,微信,京东点外卖
2025-10-04,-16.9,微信,京东点外卖
2025-10-04,-262.0,支付宝,买羽毛球李宁g900一桶
2025-10-05,-3000.0,微信,转给老弟
2025-10-05,-5000.0,农行卡,转给老弟
2025-10-05,-12.4,微信,京东点外卖
2025-10-05,-9.38,微信,京东点外卖
2025-10-05,-14.4,微信,超市买水果
2025-10-06,-16.98,微信,京东点外卖
2025-10-07,-10.6,微信,京东点外卖
2025-10-07,-117.0,微信,羽毛球场地费
2025-10-07,-4.0,微信,打完羽毛球买饮料
2025-10-08,-55.5,微信,打完羽毛球吃宵夜
2025-10-08,-33.16,微信,京东点外卖
2025-10-08,-28.0,微信,曾边便利店买饮料
2025-10-09,-19.9,微信,京东点外卖
2025-10-10,-3.0,微信,便利店买早餐
2025-10-10,-14.88,微信,京东点外卖
2025-10-10,-97.0,抖音月付,买裤子
2025-10-10,-251.06,白条,买手镯
2025-10-10,-17.5,浦发银行卡,买杯子
2025-10-11,-14.9,微信,京东点外卖
2025-10-12,-14.8,微信,京东点外卖
2025-10-12,-97.0,支付宝,抖音买鞋子
2025-10-12,-20.9,微信,京东点外卖
2025-10-13,-25.9,微信,京东点外卖
2025-10-14,-8.38,微信,京东点外卖
2025-10-15,-295.99,抖音月付,白云山飞索门票
2025-10-15,-8.38,微信,京东点外卖
2025-10-15,-22.0,微信,网易云音乐会员
2025-10-15,-119.8,微信,眼霜
2025-10-15,-109.0,支付宝,鞋子
2025-10-16,-129.9,支付宝,买裤子
2025-10-16,-78.0,支付宝,买眼镜框
2025-10-16,-13.99,支付宝,买梯子
2025-10-16,-100.0,微信,岭南通充值
2025-10-16,-8.9,微信,京东点外卖
2025-10-16,-8.7,微信,眼睛腿托
2025-10-16,-13.0,白条,手机壳
2025-10-17,-16.8,微信,京东点外卖
2025-10-17,-18.8,支付宝,共享单车月卡
2025-10-18,-14.89,微信,京东
2025-10-18,-8.6,微信,京东
2025-10-18,-83.0,美团月付,友间粤式茶点代金券
2025-10-18,-5.0,微信,爬白云山买水
2025-10-18,-38.0,微信,白云山飞索拍照
2025-10-18,-34.0,微信,友间粤式茶点
2025-10-18,-20.0,微信,给老妈发红包
2025-10-18,-13.4,支付宝,打车
2025-10-18,-2000.0,微信,给老爹转账
2025-10-19,-9.6,微信,京东
2025-10-19,-13.49,支付宝,打车
2025-10-19,-14.8,微信,京东
2025-10-20,-3.0,微信,买早餐
2025-10-20,-15.8,微信,京东点外卖
2025-10-20,-9.8,支付宝,百度网盘超级会员
2025-10-21,-3.0,微信,买早餐
2025-10-21,-17.98,微信,京东点外卖
2025-10-22,-3.0,微信,买早餐
2025-10-22,-14.9,微信,京东点外卖
2025-10-23,-3.0,微信,买早餐
2025-10-23,-17.9,微信,京东点外卖
2025-10-24,-3.0,微信,买早餐
2025-10-24,-15.8,微信,京东点外卖
2025-10-25,-14.8,微信,京东点外卖
2025-10-25,-13.3,微信,京东点外卖
2025-10-25,-26.1,微信,超市买零食
2025-10-25,-3.7,微信,超市买零食
2025-10-26,-10.9,微信,京东点外卖
2025-10-26,-5.0,微信,流花湖公园买酸奶
2025-10-26,-30.0,微信,包子和炒面
2025-10-27,-3.0,微信,买早餐
2025-10-27,-12.9,微信,京东点外卖
2025-10-28,-3.0,微信,买早餐
2025-10-28,-15.3,微信,京东点外卖
2025-10-29,-100.0,微信,岭南通充值
2025-10-29,-9.38,微信,京东点外卖
2025-10-30,-3.0,微信,买早餐
2025-10-30,-15.8,微信,京东点外卖
2025-10-31,-15.8,微信,京东点外卖
2025-10-31,-2.5,微信,买早餐
2025-11-01,-10.9,微信,京东点外卖
2025-11-02,-451.71,微信,10月水电
2025-11-02,-30.0,微信,羽毛球拍穿线
2025-11-02,-89.0,微信,大学城新疆菜 11月1日的
2025-11-02,-24.8,微信,包子糕点
2025-11-03,-2.0,微信,买早餐
2025-11-03,-10.9,微信,京东点外卖
2025-11-04,-3.0,微信,买早餐
2025-11-04,-15.3,微信,京东点外卖
2025-11-04,-18.31,微信,零食饮料
2025-11-05,-2.0,支付宝,买早餐
2025-11-05,-1.5,微信,共享单车
2025-11-05,-8.38,微信,京东点外卖
2025-11-06,-100.0,微信,岭南通充值
2025-11-06,-3.0,微信,买早餐
2025-11-06,-15.3,微信,京东点外卖
2025-11-07,-3.0,微信,买早餐
2025-11-07,-17.3,微信,京东点外卖
2025-11-08,-10.9,微信,京东点外卖
2025-11-08,-30.0,微信,买手胶
2025-11-08,-39.0,浦发银行卡,洗衣液
2025-11-08,-118.0,微信,大学城吃东北菜
2025-11-08,-6.0,微信,便利店买饮料
2025-11-09,-9.38,微信,京东点外卖
2025-11-09,-17.8,微信,京东点外卖
2025-11-10,-3.0,微信,早餐
2025-11-10,-16.3,微信,京东点外卖
2025-11-10,-31.4,微信,超市买零食饮料
2025-11-11,-1.5,微信,共享单车
2025-11-11,-2.0,微信,早餐
2025-11-12,-3.0,微信,早餐
2025-11-12,-15.3,微信,京东点外卖
2025-11-12,-24.3,微信,京东点外卖
2025-11-13,-10.9,微信,京东点外卖
2025-11-13,-1.5,微信,早餐
2025-11-13,-1.5,微信,早餐
2025-11-13,-12.16,支付宝,打车参加展会
2025-11-13,-100.0,支付宝,岭南通充值
2025-11-14,-3.0,微信,早餐
2025-11-14,-12.29,微信,京东点外卖
2025-11-15,-10.9,微信,京东点外卖
2025-11-15,-97.0,微信,打羽毛球+吃晚饭
2025-11-15,-134.4,支付宝,买机场
2025-11-15,-18.3,支付宝,打车去吃铁锅炖
2025-11-16,-15.0,微信,兰州拉面
2025-11-16,-15.0,微信,红油牛肉包
2025-11-16,-10.9,微信,京东点外卖
2025-11-16,-17.8,抖音月付,买书
2025-11-16,-3.0,支付宝,零食饮料
